Date,True,MA_filtered,EMA_filtered,bilateral_filtered
1990-02-26,326.37001037597656,,326.37001037597656,335.04662673083857
1990-02-27,329.8375015258789,,326.4386735670637,335.0765357828778
1990-02-28,331.447509765625,,326.53785844228275,335.11373370418056
1990-03-01,332.5274963378906,,326.6564651332849,335.1459131780067
1990-03-02,334.13500213623047,,326.8045549749273,335.17457496530153
1990-03-05,334.7874984741211,,326.9626330640203,335.2016858302897
1990-03-06,335.79249572753906,,327.1374818296345,335.2304846060071
1990-03-07,337.5124969482422,,327.3429276735673,335.2531697138207
1990-03-08,338.70750427246094,,327.5679687943375,335.2650989921966
1990-03-09,338.7899932861328,,327.79018710110574,335.268489332719
1990-03-12,337.9550018310547,,327.99147056110473,335.2706485026694
1990-03-13,337.1750030517578,,328.1733226896325,335.27603416069996
1990-03-14,336.3574981689453,,328.335385570411,335.28023581515157
1990-03-15,337.6800003051758,,328.52042744634696,335.2807798424394
1990-03-16,339.99000549316406,,328.74754780370967,335.2847058286217
1990-03-19,342.0800018310547,,329.01155679435016,335.29757667372274
1990-03-20,342.6149978637696,,329.28093186503173,335.3153886782864
1990-03-21,340.8024978637696,,329.50908168678893,335.3319330896369
1990-03-22,337.20499420166016,,329.6614759940141,335.34517180470084
1990-03-23,336.5449981689453,,329.79778336381474,335.3568190154983
1990-03-26,337.95249938964844,,329.9592628890788,335.36168015765656
1990-03-27,339.41500091552734,,330.1465052262362,335.35973711253274
1990-03-28,341.6699981689453,,330.3746932052997,335.3548074668122
1990-03-29,341.1575012207031,,330.58821415609975,335.35027060774166
1990-03-30,340.0875015258789,,330.7763188564914,335.3456823753508
1990-04-02,338.72750091552734,,330.9337680061753,335.3463265986123
1990-04-03,341.20001220703125,,331.1370599705487,335.35212198270733
1990-04-04,342.3125,,331.358355812716,335.3564137515133
1990-04-05,341.3250045776367,,331.5557151941996,335.352558500335
1990-04-06,340.37000274658203,,331.7302555417715,335.34494806580153
1990-04-09,340.7899932861328,,331.9096562891846,335.34166298841984
1990-04-10,341.6175003051758,,332.10189082415474,335.3461491136508
1990-04-11,342.06250762939453,,332.2991307608921,335.35207178369603
1990-04-12,343.24000549316406,,332.51578174568954,335.35821717555194
