,Filter,mean_squared_error,R-squared,snr,psnr
0,MA,279741857240.09143,-279636.3683420279,-49.09971901914102,7.911766625506814
1,EMA,7825.4422725986615,0.992298664509063,26.279189976402844,34.68563617900182
2,Bilateral,4929.927502655489,0.9951482581659452,28.285873569083098,36.69231977168208
