Data,mean_squared_error,R-squared,snr,psnr
S&P 500,2060.970653389122,0.9979717150947106,32.07356081879612,40.480007021395096
Gold,772.0267900042218,0.9970764355541786,32.65441663569811,37.35875351116273
Treaury Yield 10 Years,0.0842696904496634,0.9790240368562083,24.141942081304055,30.24659789338792
